Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
142,Thyroid cancer,0.38603054891108257,1.533851364813708,1.4599791970486757,GADD45B;PPARG,0.7368206117055605
143,Human T-cell leukemia virus 1 infection,0.3892647986490047,1.1511670020120723,1.0861208293075597,HLA-DMA;CDKN2B;ZFP36;IL6;FOS;ITGAL;ICAM1;HLA-E;TGFBR2,0.7368206117055605
144,Gap junction,0.3900815003147085,1.2785214785214785,1.2035995912431883,GUCY1A2;PRKCB;GNAQ;ADRB1,0.7368206117055605
145,Basal cell carcinoma,0.3959924402360886,1.3422486033519554,1.2434056285754314,BMP2;GADD45B;HHIP,0.7428271982359731
146,Allograft rejection,0.39884365809239486,1.49116689911669,1.3706593991859886,HLA-DMA;HLA-E,0.7430511986378863
147,Ferroptosis,0.4364956029644672,1.3762471837785646,1.1408772302131354,ACSL5;SLC39A8,0.8076653333764291
148,Phospholipase D signaling pathway,0.4413039275086429,1.1342077711712069,0.9278063001893192,SHC3;CXCR2;AGTR1;FCER1A;PIP5K1B;MS4A2,0.8110450559618302
149,Renal cell carcinoma,0.45364844395947235,1.2198450990350431,0.9642054959777153,RAP1A;EPAS1;HGF,0.8186207637574184
150,Proteoglycans in cancer,0.4574545896913446,1.089992646376377,0.8524588946962749,PRKCB;CAV2;HGF;CAV1;TIMP3;ANK2;DCN;HBEGF,0.8186207637574184
151,Fat digestion and absorption,0.46087448189498964,1.3089771065074667,1.013972342530623,PLA2G1B;CD36,0.8186207637574184
152,Type I diabetes mellitus,0.46087448189498964,1.3089771065074667,1.013972342530623,HLA-DMA;HLA-E,0.8186207637574184
153,Platelet activation,0.46171405829627155,1.127627521596874,0.8714412622204852,GUCY1A2;RAP1A;VWF;GNAQ;FGG,0.8186207637574184
154,Primary bile acid biosynthesis,0.46348381477442074,1.676967270194986,1.28956068766687,CH25H,0.8186207637574184
155,Glycerophospholipid metabolism,0.47066030725549524,1.141913405743193,0.8605672520255756,PLA2G1B;GPD1;GPD1L;PLA1A,0.8206384844454789
