Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
11,Cellular senescence,1.8621009087732253e-06,5.636075036075036,74.36127604428518,CDKN2A;IGFBP3;CALML3;FOXM1;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CHEK1;EIF4EBP1;CDK1;MYBL2,3.419494396110832e-05
12,Bile secretion,2.1990061314007935e-06,7.70125786163522,100.32817574639917,UGT1A10;UGT1A1;SLC2A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,3.7016603211913354e-05
13,Oocyte meiosis,9.29477413519323e-06,5.750253969951345,66.62277737160709,CDC20;CCNB2;CCNB1;PTTG1;CCNE2;CCNE1;CDK1;CALML3;BUB1;AURKA;MAD2L1,0.0001444264904083871
14,Chemical carcinogenesis,0.00017004001826704534,3.551032448377581,30.821103563698188,UGT1A10;UGT1A1;CDC6;EIF4EBP1;UGT1A5;BIRC5;UGT1A4;UGT1A3;KPNA2;UGT1A9;UGT1A8;UGT1A7;UGT1A6,0.002453434549281654
15,Human T-cell leukemia virus 1 infection,0.0010260081309995852,3.2471487503033245,22.34713619637797,CDC20;CCNA2;CCNB2;PTTG1;CCNE2;CDKN2A;CCNE1;CHEK1;SLC2A1;BUB1B;MAD2L1,0.013816909497461081
16,Progesterone-mediated oocyte maturation,0.001301884859456852,4.590928884869192,30.50186603006337,CCNA2;CCNB2;CCNB1;CDK1;BUB1;AURKA;MAD2L1,0.016436296350642757
17,Protein digestion and absorption,0.00154577375236167,4.446780893042575,28.780591738334223,COL1A1;COL3A1;COL1A2;COL11A1;COL12A1;COL5A2;COL10A1,0.018367429292768078
18,Fanconi anemia pathway,0.0018848994703979847,6.19921652871675,38.89314549788657,FANCI;RMI2;BRIP1;RAD51;UBE2T,0.02115276072335516
19,Pyrimidine metabolism,0.002216907542581614,5.955502944211741,36.397902240966495,UCK2;RRM2;TK1;TYMS;NME1,0.023569227557972947
20,Staphylococcus aureus infection,0.00476107107580474,4.100006978854072,21.923896060420578,KRT17;KRT16;KRT15;KRT14;KRT13;IGH,0.04808681786562787
21,Estrogen signaling pathway,0.007506349285187216,3.2780733285406183,16.03635453989842,KRT17;KRT16;KRT15;KRT14;KRT13;CALML3;MMP9,0.07220393121941988
22,MicroRNAs in cancer,0.013773534825516654,2.2483251215935347,9.634087297782683,CCNE2;CDKN2A;CCNE1;CDCA5;HMGA2;KIF23;MMP9;SOX4;TP63;SERPINB5;EZH2,0.12439510276987129
23,Transcriptional misregulation in cancer,0.014163798830232869,2.6478260869565218,11.271970270282354,CCNA2;JUP;SIX4;IGFBP3;HMGA2;SIX1;IGH;MMP9,0.12439510276987129
24,ECM-receptor interaction,0.014902454874010148,3.653437278525868,15.367195010518383,COL1A1;COL1A2;SPP1;HMMR;THBS2,0.1254289951895854
25,Amoebiasis,0.026388741298459563,3.123902843828796,11.35481774269058,COL1A1;COL3A1;COL1A2;SERPINB13;IGH,0.21322102969155327
26,Bladder cancer,0.029446038756460707,4.769392712550608,16.813043565912,CDKN2A;MMP1;MMP9,0.22029999365944677
27,Ferroptosis,0.029446038756460707,4.769392712550608,16.813043565912,GCLC;SLC7A11;CP,0.22029999365944677
28,HIF-1 signaling pathway,0.0337952919285451,2.912598237675637,9.866233652774113,EGLN3;EIF4EBP1;SLC2A1;GAPDH;PDK1,0.24380889177021822
29,Ether lipid metabolism,0.04629386578967818,3.9383277591973243,12.101480140215969,UGT8;PAFAH1B3;PLPP2,0.3224607203281032
30,Viral carcinogenesis,0.05051481303325349,2.166889185580774,6.469223087391418,CDC20;CCNA2;CCNE2;CDKN2A;CCNE1;CHEK1;CDK1,0.34013307442390683
31,Mismatch repair,0.05410056464342941,5.740870581361379,16.74560657436368,RFC4;EXO1,0.35252625993460457
32,Pathways in cancer,0.056049707603561504,1.6519237639985709,4.760045328612961,NQO1;EGLN3;JUP;CDKN2A;MMP1;SLC2A1;CALML3;MMP9;CKS1B;CCNA2;RAD51;CCNE2;CCNE1;BIRC5,0.353813779247482
33,Purine metabolism,0.06150412912082901,2.4403275741536,6.805221847623572,RRM2;PPAT;AK4;PAICS;NME1,0.36540688477669003
34,Relaxin signaling pathway,0.06150412912082901,2.4403275741536,6.805221847623572,COL1A1;COL3A1;COL1A2;MMP1;MMP9,0.36540688477669003
35,Glutathione metabolism,0.06692509786444978,3.3535042735042735,9.06848330200163,GPX2;GCLC;RRM2,0.37775298461500045
